Year,Site,Management,access,Reserve,Transect,Species,Density,
2005,Tanjung Lemu,Utilization,Gear Restriction,1,2,Bolbometopon muricatum,30,
2005,Kecil,Utilization,Gear Restriction,1,1,Bolbometopon muricatum,10,
2005,Taka Malang E,Core Zone,No Take Zone,0,2,Bolbometopon muricatum,10,
2005,Taka Malang W,Core Zone,No Take Zone,0,1,Bolbometopon muricatum,10,
2005,Taka Menyawakan E,Core Zone,No Take Zone,0,2,Bolbometopon muricatum,10,
2005,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Bolbometopon muricatum,40,
2007,Tanjung Lemu,Utilization,Gear Restriction,1,1,Bolbometopon muricatum,10,
2007,Kumbang 2,Core Zone,No Take Zone,0,1,Bolbometopon muricatum,10,
2009,Legon Moto,Core Zone,No Take Zone,0,1,Bolbometopon muricatum,10,
2009,Legon Moto,Core Zone,No Take Zone,0,1,Bolbometopon muricatum,10,
2013,Tanjung Lemu,Utilization Zone,Gear Restriction,1,1,Bolbometopon muricatum,20,
2013,Tanjung Lemu,Utilization Zone,Gear Restriction,1,2,Bolbometopon muricatum,40,
2013,Tanjung Lemu,Utilization Zone,Gear Restriction,1,2,Bolbometopon muricatum,10,
2013,Kumbang 2,Core Zone,No Take Zone,0,2,Bolbometopon muricatum,10,
2005,Cemara Besar 1,Utilization,Gear Restriction,1,1,Caesio cuning,200,
2005,Karang Katang,Utilization,Gear Restriction,1,1,Caesio cuning,600,
2005,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,150,
2005,Kecil,Utilization,Gear Restriction,1,2,Caesio cuning,400,
2005,Pantai Nirwana,Utilization,Gear Restriction,1,1,Caesio cuning,1500,
2005,Parang 2,Utilization,Gear Restriction,1,1,Caesio cuning,60,
2005,Parang 2,Utilization,Gear Restriction,1,2,Caesio cuning,370,
2005,Tanjung Lemu,Utilization,Gear Restriction,1,1,Caesio cuning,900,
2005,Batu Putih,Utilization,Gear Restriction,1,2,Caesio cuning,1200,
2005,Cemara Besar 1,Utilization,Gear Restriction,1,1,Caesio cuning,40,
2005,Cemara Besar 2,Utilization,Gear Restriction,1,1,Caesio cuning,130,
2005,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,20,
2005,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,300,
2005,Nyamuk,Utilization,Gear Restriction,1,1,Caesio cuning,160,
2005,Pantai Nirwana,Utilization,Gear Restriction,1,1,Caesio cuning,600,
2005,Parang 1,Utilization,Gear Restriction,1,1,Caesio cuning,250,
2005,Tanjung Lemu,Utilization,Gear Restriction,1,2,Caesio cuning,250,
2005,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,220,
2005,Tanjung Lemu,Utilization,Gear Restriction,1,1,Caesio cuning,50,
2005,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,10,
2005,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,50,
2005,Kumbang 2,Core Zone,No Take Zone,0,2,Caesio cuning,130,
2005,Legon Moto,Core Zone,No Take Zone,0,1,Caesio cuning,110,
2005,Taka Malang W,Core Zone,No Take Zone,0,1,Caesio cuning,700,
2005,Taka Malang W,Core Zone,No Take Zone,0,2,Caesio cuning,1000,
2005,Taka Menyawakan E,Core Zone,No Take Zone,0,2,Caesio cuning,710,
2005,Tanjung Dua,Core Zone,No Take Zone,0,1,Caesio cuning,1100,
2005,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,100,
2005,Kumbang 2,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2005,Kumbang 3,Core Zone,No Take Zone,0,1,Caesio cuning,400,
2005,Taka Malang W,Core Zone,No Take Zone,0,1,Caesio cuning,200,
2005,Taka Menyawakan E,Core Zone,No Take Zone,0,1,Caesio cuning,20,
2005,Taka Menyawakan W,Core Zone,No Take Zone,0,2,Caesio cuning,200,
2005,Tanjung Dua,Core Zone,No Take Zone,0,2,Caesio cuning,500,
2005,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,1200,
2005,Kumbang 1,Core Zone,No Take Zone,0,1,Caesio cuning,70,
2005,Legon Moto,Core Zone,No Take Zone,0,1,Caesio cuning,100,
2005,Taka Malang W,Core Zone,No Take Zone,0,1,Caesio cuning,180,
2005,Taka Malang W,Core Zone,No Take Zone,0,1,Caesio cuning,20,
2005,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,230,
2005,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,200,
2005,Kumbang 2,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2005,Legon Moto,Core Zone,No Take Zone,0,1,Caesio cuning,190,
2005,Taka Malang W,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2005,Taka Menyawakan E,Core Zone,No Take Zone,0,2,Caesio cuning,50,
2005,Legon Janten,Core Zone,No Take Zone,0,2,Caesio cuning,20,
2005,Taka Menyawakan E,Core Zone,No Take Zone,0,2,Caesio cuning,460,
2005,Taka Menyawakan E,Core Zone,No Take Zone,0,2,Caesio cuning,40,
2005,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2005,Taka Menyawakan W,Core Zone,No Take Zone,0,2,Caesio cuning,90,
2006,Batu Putih,Utilization,Gear Restriction,1,1,Caesio cuning,1590,
2006,Batu Putih,Utilization,Gear Restriction,1,2,Caesio cuning,950,
2006,Cemara Besar 2,Utilization,Gear Restriction,1,1,Caesio cuning,10,
2006,Karang Katang,Utilization,Gear Restriction,1,1,Caesio cuning,200,
2006,Karang Katang,Utilization,Gear Restriction,1,2,Caesio cuning,70,
2006,Nyamuk,Utilization,Gear Restriction,1,1,Caesio cuning,10,
2006,Nyamuk,Utilization,Gear Restriction,1,2,Caesio cuning,240,
2006,Pantai Nirwana,Utilization,Gear Restriction,1,1,Caesio cuning,360,
2006,Pantai Nirwana,Utilization,Gear Restriction,1,2,Caesio cuning,50,
2006,Tanjung Lemu,Utilization,Gear Restriction,1,2,Caesio cuning,110,
2006,Batu Putih,Utilization,Gear Restriction,1,1,Caesio cuning,400,
2006,Batu Putih,Utilization,Gear Restriction,1,2,Caesio cuning,90,
2006,Cemara Besar 1,Utilization,Gear Restriction,1,1,Caesio cuning,100,
2006,Cemara Besar 1,Utilization,Gear Restriction,1,2,Caesio cuning,50,
2006,Cemara Besar 2,Utilization,Gear Restriction,1,1,Caesio cuning,150,
2006,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,10,
2006,Kecil,Utilization,Gear Restriction,1,2,Caesio cuning,150,
2006,Pantai Nirwana,Utilization,Gear Restriction,1,1,Caesio cuning,400,
2006,Parang 1,Utilization,Gear Restriction,1,1,Caesio cuning,200,
2006,Parang 2,Utilization,Gear Restriction,1,1,Caesio cuning,450,
2006,Parang 2,Utilization,Gear Restriction,1,2,Caesio cuning,500,
2006,Tanjung Lemu,Utilization,Gear Restriction,1,2,Caesio cuning,10,
2006,Batu Putih,Utilization,Gear Restriction,1,1,Caesio cuning,50,
2006,Cemara Besar 1,Utilization,Gear Restriction,1,2,Caesio cuning,20,
2006,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,150,
2006,Karang Katang,Utilization,Gear Restriction,1,1,Caesio cuning,10,
2006,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,50,
2006,Parang 2,Utilization,Gear Restriction,1,2,Caesio cuning,150,
2006,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,50,
2006,Parang 2,Utilization,Gear Restriction,1,2,Caesio cuning,100,
2006,Batu Putih,Utilization,Gear Restriction,1,1,Caesio cuning,500,
2006,Batu Putih,Utilization,Gear Restriction,1,2,Caesio cuning,100,
2006,Kecil,Utilization,Gear Restriction,1,2,Caesio cuning,75,
2006,Tanjung Lemu,Utilization,Gear Restriction,1,1,Caesio cuning,5000,
2006,Kumbang 3,Core Zone,No Take Zone,0,2,Caesio cuning,620,
2006,Legon Janten,Core Zone,No Take Zone,0,1,Caesio cuning,80,
2006,Legon Moto,Core Zone,No Take Zone,0,1,Caesio cuning,180,
2006,Taka Malang E,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2006,Taka Malang E,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2006,Taka Malang W,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2006,Taka Malang W,Core Zone,No Take Zone,0,2,Caesio cuning,510,
2006,Taka Menyawakan E,Core Zone,No Take Zone,0,1,Caesio cuning,700,
2006,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,30,
2006,Taka Menyawakan W,Core Zone,No Take Zone,0,2,Caesio cuning,280,
2006,Tanjung Dua,Core Zone,No Take Zone,0,1,Caesio cuning,300,
2006,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,150,
2006,Kumbang 1,Core Zone,No Take Zone,0,1,Caesio cuning,200,
2006,Kumbang 1,Core Zone,No Take Zone,0,2,Caesio cuning,640,
2006,Kumbang 2,Core Zone,No Take Zone,0,1,Caesio cuning,1500,
2006,Kumbang 2,Core Zone,No Take Zone,0,2,Caesio cuning,300,
2006,Kumbang 3,Core Zone,No Take Zone,0,1,Caesio cuning,300,
2006,Taka Menyawakan E,Core Zone,No Take Zone,0,1,Caesio cuning,120,
2006,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,100,
2006,Tanjung Dua,Core Zone,No Take Zone,0,1,Caesio cuning,660,
2006,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,2000,
2006,Tanjung Sekoci,Core Zone,No Take Zone,0,2,Caesio cuning,500,
2006,Kumbang 2,Core Zone,No Take Zone,0,1,Caesio cuning,300,
2006,Taka Menyawakan E,Core Zone,No Take Zone,0,1,Caesio cuning,200,
2006,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,250,
2006,Taka Menyawakan W,Core Zone,No Take Zone,0,2,Caesio cuning,500,
2006,Tanjung Dua,Core Zone,No Take Zone,0,1,Caesio cuning,200,
2006,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,150,
2006,Tanjung Sekoci,Core Zone,No Take Zone,0,2,Caesio cuning,10,
2006,Kumbang 3,Core Zone,No Take Zone,0,1,Caesio cuning,30,
2006,Legon Janten,Core Zone,No Take Zone,0,1,Caesio cuning,20,
2006,Taka Menyawakan E,Core Zone,No Take Zone,0,1,Caesio cuning,100,
2006,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,70,
2006,Taka Menyawakan E,Core Zone,No Take Zone,0,1,Caesio cuning,40,
2006,Taka Menyawakan W,Core Zone,No Take Zone,0,2,Caesio cuning,60,
2006,Taka Malang E,Core Zone,No Take Zone,0,1,Caesio cuning,125,
2006,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,625,
2006,Tanjung Sekoci,Core Zone,No Take Zone,0,2,Caesio cuning,425,
2007,Batu Putih,Utilization,Gear Restriction,1,1,Caesio cuning,800,
2007,Batu Putih,Utilization,Gear Restriction,1,1,Caesio cuning,150,
2007,Batu Putih,Utilization,Gear Restriction,1,2,Caesio cuning,450,
2007,Cemara Besar 2,Utilization,Gear Restriction,1,1,Caesio cuning,20,
2007,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,60,
2007,Karang Katang,Utilization,Gear Restriction,1,1,Caesio cuning,480,
2007,Karang Katang,Utilization,Gear Restriction,1,2,Caesio cuning,50,
2007,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,200,
2007,Kecil,Utilization,Gear Restriction,1,2,Caesio cuning,80,
2007,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,250,
2007,Nyamuk,Utilization,Gear Restriction,1,1,Caesio cuning,60,
2007,Nyamuk,Utilization,Gear Restriction,1,2,Caesio cuning,200,
2007,Parang 1,Utilization,Gear Restriction,1,1,Caesio cuning,150,
2007,Tanjung Lemu,Utilization,Gear Restriction,1,1,Caesio cuning,500,
2007,Cemara Besar 1,Utilization,Gear Restriction,1,2,Caesio cuning,90,
2007,Cemara Besar 1,Utilization,Gear Restriction,1,2,Caesio cuning,10,
2007,Cemara Besar 2,Utilization,Gear Restriction,1,1,Caesio cuning,20,
2007,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,120,
2007,Karang Katang,Utilization,Gear Restriction,1,1,Caesio cuning,380,
2007,Karang Katang,Utilization,Gear Restriction,1,2,Caesio cuning,500,
2007,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,30,
2007,Kecil,Utilization,Gear Restriction,1,1,Caesio cuning,490,
2007,Nyamuk,Utilization,Gear Restriction,1,1,Caesio cuning,710,
2007,Nyamuk,Utilization,Gear Restriction,1,2,Caesio cuning,520,
2007,Pantai Nirwana,Utilization,Gear Restriction,1,1,Caesio cuning,410,
2007,Pantai Nirwana,Utilization,Gear Restriction,1,2,Caesio cuning,540,
2007,Parang 1,Utilization,Gear Restriction,1,1,Caesio cuning,310,
2007,Parang 1,Utilization,Gear Restriction,1,2,Caesio cuning,200,
2007,Tanjung Lemu,Utilization,Gear Restriction,1,1,Caesio cuning,200,
2007,Tanjung Lemu,Utilization,Gear Restriction,1,2,Caesio cuning,90,
2007,Cemara Besar 1,Utilization,Gear Restriction,1,1,Caesio cuning,60,
2007,Cemara Besar 1,Utilization,Gear Restriction,1,2,Caesio cuning,80,
2007,Cemara Besar 2,Utilization,Gear Restriction,1,1,Caesio cuning,160,
2007,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,80,
2007,Karang Katang,Utilization,Gear Restriction,1,1,Caesio cuning,120,
2007,Karang Katang,Utilization,Gear Restriction,1,2,Caesio cuning,130,
2007,Kecil,Utilization,Gear Restriction,1,2,Caesio cuning,10,
2007,Nyamuk,Utilization,Gear Restriction,1,1,Caesio cuning,160,
2007,Nyamuk,Utilization,Gear Restriction,1,2,Caesio cuning,50,
2007,Pantai Nirwana,Utilization,Gear Restriction,1,1,Caesio cuning,80,
2007,Pantai Nirwana,Utilization,Gear Restriction,1,2,Caesio cuning,110,
2007,Parang 1,Utilization,Gear Restriction,1,1,Caesio cuning,130,
2007,Parang 1,Utilization,Gear Restriction,1,2,Caesio cuning,200,
2007,Tanjung Dua,Core Zone,No Take Zone,0,1,Caesio cuning,200,
2007,Kumbang 2,Core Zone,No Take Zone,0,2,Caesio cuning,140,
2007,Kumbang 3,Core Zone,No Take Zone,0,1,Caesio cuning,20,
2007,Legon Janten,Core Zone,No Take Zone,0,1,Caesio cuning,200,
2007,Legon Janten,Core Zone,No Take Zone,0,2,Caesio cuning,330,
2007,Legon Janten,Core Zone,No Take Zone,0,1,Caesio cuning,50,
2007,Legon Moto,Core Zone,No Take Zone,0,1,Caesio cuning,50,
2007,Taka Malang W,Core Zone,No Take Zone,0,1,Caesio cuning,780,4
2007,Taka Malang W,Core Zone,No Take Zone,0,2,Caesio cuning,30,4
2007,Taka Menyawakan E,Core Zone,No Take Zone,0,1,Caesio cuning,10,4
2007,Taka Menyawakan E,Core Zone,No Take Zone,0,2,Caesio cuning,40,4
2007,Tanjung Dua,Core Zone,No Take Zone,0,1,Caesio cuning,260,4
2007,Tanjung Dua,Core Zone,No Take Zone,0,2,Caesio cuning,450,
2007,Tanjung Sekoci,Core Zone,No Take Zone,0,2,Caesio cuning,170,
2007,Kumbang 1,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2007,Kumbang 1,Core Zone,No Take Zone,0,2,Caesio cuning,120,
2007,Kumbang 2,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2007,Kumbang 2,Core Zone,No Take Zone,0,2,Caesio cuning,40,
2007,Kumbang 3,Core Zone,No Take Zone,0,1,Caesio cuning,260,
2007,Kumbang 3,Core Zone,No Take Zone,0,2,Caesio cuning,30,
2007,Legon Janten,Core Zone,No Take Zone,0,1,Caesio cuning,100,
2007,Legon Janten,Core Zone,No Take Zone,0,2,Caesio cuning,40,
2007,Legon Moto,Core Zone,No Take Zone,0,1,Caesio cuning,300,
2007,Legon Moto,Core Zone,No Take Zone,0,2,Caesio cuning,750,
2007,Taka Menyawakan E,Core Zone,No Take Zone,0,2,Caesio cuning,100,
2007,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,100,
2007,Taka Menyawakan W,Core Zone,No Take Zone,0,2,Caesio cuning,130,
2007,Tanjung Dua,Core Zone,No Take Zone,0,2,Caesio cuning,200,
2007,Tanjung Dua,Core Zone,No Take Zone,0,2,Caesio cuning,50,
2007,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,520,
2007,Tanjung Sekoci,Core Zone,No Take Zone,0,2,Caesio cuning,700,
2007,Tanjung Sekoci,Core Zone,No Take Zone,0,2,Caesio cuning,20,
2007,Kumbang 1,Core Zone,No Take Zone,0,1,Caesio cuning,20,
2007,Kumbang 3,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2007,Legon Moto,Core Zone,No Take Zone,0,1,Caesio cuning,100,
2007,Legon Moto,Core Zone,No Take Zone,0,2,Caesio cuning,170,
2007,Taka Malang E,Core Zone,No Take Zone,0,2,Caesio cuning,10,
2007,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,190,
2007,Taka Menyawakan W,Core Zone,No Take Zone,0,2,Caesio cuning,290,
2007,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,880,
2007,Kumbang 1,Core Zone,No Take Zone,0,1,Caesio cuning,10,
2007,Taka Menyawakan W,Core Zone,No Take Zone,0,1,Caesio cuning,50,
2007,Tanjung Sekoci,Core Zone,No Take Zone,0,1,Caesio cuning,110,
2007,Tanjung Sekoci,Core Zone,No Take Zone,0,2,Caesio cuning,20,
2007,Taka Malang W,Core Zone,No Take Zone,0,1,Caesio cuning,2500,
2007,Taka Malang W,Core Zone,No Take Zone,0,2,Caesio cuning,625,
2009,Cemara Besar 1,Utilization,Gear Restriction,1,4,Caesio cuning,700,
2009,Cemara Besar 1,Utilization,Gear Restriction,1,4,Caesio cuning,230,
2009,Cemara Besar 2,Utilization,Gear Restriction,1,2,Caesio cuning,30,
2009,Cemara Besar 2,Utilization,Gear Restriction,1,3,Caesio cuning,170,
2009,Cemara Besar 2,Utilization,Gear Restriction,1,4,Caesio cuning,30,
2009,Karang Katang,Utilization,Gear Restriction,1,1,Caesio cuning,50,
