piName,trpName,lrpName
Presence of Destructive Fishing Gear,destructive_TRP,destructive_LRP
Changes in Fishing Seasons,season_TRP,season_LRP
Changes in Target Species Composition,composition_TRP,composition_LRP
Target Species Vulnerability,vulnerability_TRP,vulnerability_LRP
Average Length (Fishery Dependent),lengthFD_TRP,lengthFD_LRP
Fishing Mortality / Natural Mortality (Catch Curve),FvMCC_TRP,FvMCC_LRP
Fishing Mortality / Natural Mortality (LBAR),FvMLBAR_TRP,FvMLBAR_LRP
Spawning Potential Ratio (SPR),SPR_TRP,SPR_LRP
Froese Sustainability Indicators,froese_TRP,froese_LRP
Total Landings,landings_TRP,landings_LRP
CPUE,CPUE_TRP,CPUE_LRP
Fished:Unfished Density Ratio (Target Species),DR_TRP,DR_LRP
Fished:Unfished Biomass Ratio (coral reef threshold aggregated across species),BR_TRP,BR_LRP
Average Length (Fishery Independent),lengthFI_TRP,lengthFI_LRP